publish_date,media_name,title,url
2025-04-09,juancole.com,"Wet Bulb Dead Zones could make Parts of Middle East, Pakistan, Uninhabitable — Even at Night",https://www.juancole.com/2025/04/middle-pakistan-uninhabitable.html
2025-04-09,indianexpress.com,"‘Didi is here, will protect you and your property’: Mamata Banerjee’s promise to minorities amid concerns over Waqf law",https://indianexpress.com/article/cities/kolkata/mamata-banerjee-minorities-waqf-bill-9934641/
2025-04-09,niagarafallsreview.ca,Ontario open to compromise with Toronto on bike lane removals,https://www.niagarafallsreview.ca/news/ontario/ontario-open-to-compromise-with-toronto-on-bike-lane-removals/article_39c0486c-9d0a-5858-82d1-42b16832c2df.html
2025-04-09,thespec.com,University lifts ban on the singing of Newfoundland and Labrador’s official anthem,https://www.thespec.com/news/canada/university-lifts-ban-on-the-singing-of-newfoundland-and-labradors-official-anthem/article_f40d470d-04d0-5e27-8c85-fda0d5cbeeed.html
2025-04-09,europapress.es,Fashion Revolution Week 2025 lleva a la Sala BBK actividades familiares gratuitas,https://www.europapress.es/euskadi/noticia-fashion-revolution-week-2025-lleva-sala-bbk-actividades-familiares-gratuitas-20250409173456.html
2025-04-09,thespec.com,PHOTO COLLECTION: AP Top Photos Tariffs,https://www.thespec.com/news/photo-collection-ap-top-photos-tariffs/article_5f8353c1-fd6f-594e-91a1-06b77c4bbc14.html
2025-04-09,newsweek.com,"How shopping on Shein, Temu could change under Trump's China tariffs",https://www.newsweek.com/shein-temu-online-shopping-trump-tariffs-2057463
2025-04-09,thespec.com,World champion Mouat beats Dropkin in early draw at season-ending Grand Slam event,https://www.thespec.com/sports/curling/world-champion-mouat-beats-dropkin-in-early-draw-at-season-ending-grand-slam-event/article_66488cbf-eab7-59bc-b5ea-da796934df45.html
2025-04-09,niagarafallsreview.ca,World champion Mouat beats Dropkin in early draw at season-ending Grand Slam event,https://www.niagarafallsreview.ca/sports/curling/world-champion-mouat-beats-dropkin-in-early-draw-at-season-ending-grand-slam-event/article_45a6d254-6a31-5102-9fcf-747f407a80ae.html
2025-04-09,thespec.com,Ontario plans to apply ‘strong mayor’ powers in 169 more communities,https://www.thespec.com/politics/ontario-plans-to-apply-strong-mayor-powers-in-169-more-communities/article_d2890cbc-3f35-55c2-9e1f-a49a4ed17e68.html
2025-04-09,niagarafallsreview.ca,Ontario plans to apply ‘strong mayor’ powers in 169 more communities,https://www.niagarafallsreview.ca/politics/ontario-plans-to-apply-strong-mayor-powers-in-169-more-communities/article_0683b782-497d-5027-8622-66524ebf0df2.html
2025-04-09,niagarafallsreview.ca,PHOTO COLLECTION: AP Top Photos Tariffs,https://www.niagarafallsreview.ca/news/photo-collection-ap-top-photos-tariffs/article_84b89ebe-013a-559c-bf69-610cdb2799c9.html
2025-04-09,ndmais.com.br,Tarifas de Trump começam nesta quarta com até 104%; veja ranking dos países afetados,https://ndmais.com.br/economia/tarifas-de-trump-comecam-nesta-quarta-com-ate-104-veja-ranking-dos-paises-afetados/
2025-04-09,sandiegouniontribune.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.sandiegouniontribune.com/2025/04/09/tariffs-international-grocery-stores-impact/
2025-04-09,thespec.com,Thomas Pynchon has a new novel coming this fall. It’s his first in 12 years,https://www.thespec.com/entertainment/thomas-pynchon-has-a-new-novel-coming-this-fall-its-his-first-in-12-years/article_af29b0ae-a326-5ee8-95a0-606ec03d0cd5.html
2025-04-09,thespec.com,Ontario open to compromise with Toronto on bike lane removals,https://www.thespec.com/news/ontario/ontario-open-to-compromise-with-toronto-on-bike-lane-removals/article_ce805e8d-4b22-5790-9afd-c21b63529b32.html
2025-04-09,niagarafallsreview.ca,University lifts ban on the singing of Newfoundland and Labrador’s official anthem,https://www.niagarafallsreview.ca/news/canada/university-lifts-ban-on-the-singing-of-newfoundland-and-labradors-official-anthem/article_965af6e0-3b71-586c-9cb0-c9f77b12d8fd.html
2025-04-09,niagarafallsreview.ca,Thomas Pynchon has a new novel coming this fall. It’s his first in 12 years,https://www.niagarafallsreview.ca/entertainment/thomas-pynchon-has-a-new-novel-coming-this-fall-its-his-first-in-12-years/article_edf23c38-b1a7-5ab1-8441-bb40f8753651.html
2025-04-09,stalbertgazette.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.stalbertgazette.com/lifestyle-news/asian-supermarket-customers-brace-for-price-hikes-as-trump-tariffs-take-effect-10498014
2025-04-09,wvnews.com,PHOTO COLLECTION: AP Top Photos Tariffs,https://www.wvnews.com/newsfeed/us/photo-collection-ap-top-photos-tariffs/article_7f2f7b3c-bb28-5f14-b3ec-d156547ca2a1.html
2025-04-09,wvnews.com,US speeds up production of new nuke,https://www.wvnews.com/news/around_the_web/science_and_tech/us-speeds-up-production-of-new-nuke/article_281ad6a9-8f2d-50f4-b8d9-8212aba3eca2.html
2025-04-09,indiatimes.com,India terminates transshipment facility for Bangladesh to export goods to third countries,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-terminates-transshipment-facility-for-bangladesh-to-export-goods-to-third-countries/articleshow/120131741.cms
2025-04-09,townandcountrytoday.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.townandcountrytoday.com/lifestyle/asian-supermarket-customers-brace-for-price-hikes-as-trump-tariffs-take-effect-10498014
2025-04-09,wvnews.com,Robot dog called in to do job too dangerous for humans at nuclear site,https://www.wvnews.com/news/around_the_web/science_and_tech/robot-dog-called-in-to-do-job-too-dangerous-for-humans-at-nuclear-site/article_4001687b-d0a0-55c4-a5f7-069034acefae.html
2025-04-09,ndtv.in,Video | Heat Wave | क्या Climate Change की वजह से फैल रहा हीट वेव का संकट?,https://ndtv.in/videos/heat-wave-is-the-heat-wave-crisis-spreading-due-to-climate-change-disaster-tracker-924427
2025-04-09,prpeak.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.prpeak.com/the-mix/asian-supermarket-customers-brace-for-price-hikes-as-trump-tariffs-take-effect-10497958
2025-04-09,advocate-news.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.advocate-news.com/2025/04/09/tariffs-international-grocery-stores-impact/
2025-04-09,chicagotribune.com,Clientes de supermercados asiáticos se preparan para alzas de precios por aranceles de Trump,https://www.chicagotribune.com/2025/04/09/clientes-de-supermercados-asiticos-se-preparan-para-alzas-de-precios-por-aranceles-de-trump/
2025-04-09,ndtv.com,26/11 Mastermind En Route India: Victims Closer To Justice,https://www.ndtv.com/video/26-11-mastermind-en-route-india-victims-closer-to-justice-924437
2025-04-09,barbadostoday.bb,UWI professor gives US tariff policy failing grade,https://barbadostoday.bb/2025/04/09/uwi-professor-gives-us-tariff-policy-failing-grade/
2025-04-09,sootoday.com,"Roots has 'limited' tariff exposure, watching for shift in consumer sentiment: CEO",https://www.sootoday.com/national-business/roots-has-limited-tariff-exposure-watching-for-shift-in-consumer-sentiment-ceo-10497854
2025-04-09,therecord.com,"Number of homeless people in Ottawa has grown to 3,000, local charity says",https://www.therecord.com/news/ontario/number-of-homeless-people-in-ottawa-has-grown-to-3-000-local-charity-says/article_3f6bffba-182b-5486-8f9c-73bdfdc34173.html
2025-04-09,therecord.com,Alcaraz recovers to beat Cerundolo in 2nd round of Monte Carlo Masters,https://www.therecord.com/sports/tennis/alcaraz-recovers-to-beat-cerundolo-in-2nd-round-of-monte-carlo-masters/article_04b66d48-cdd1-51ad-a8d8-6a12999ff11d.html
2025-04-09,kdhnews.com,Billionaire spacewalker highlights Mars trip for astronauts in his bid to become NASA's next chief,https://kdhnews.com/news/science/billionaire-spacewalker-highlights-mars-trip-for-astronauts-in-his-bid-to-become-nasas-next-chief/article_051e51e9-a51d-59cf-99f7-ab8d521f297c.html
2025-04-09,therecord.com,"Post to shutter Cobourg cereal plant, impacting 300 jobs by December 2025",https://www.therecord.com/news/post-to-shutter-cobourg-cereal-plant-impacting-300-jobs-by-december-2025/article_758e1813-6145-50a7-80e2-57428fc3673c.html
2025-04-09,tribunnews.com,"Masih Ada Peluang, Ekonomi Indonesia Dinilai Tidak Rentan Guncangan Sentimen Global",https://wartakota.tribunnews.com/2025/04/09/masih-ada-peluang-ekonomi-indonesia-dinilai-tidak-rentan-guncangan-sentimen-global
2025-04-09,kdhnews.com,Soil from the moon's far side suggests drier conditions than the side facing Earth,https://kdhnews.com/news/nation/soil-from-the-moons-far-side-suggests-drier-conditions-than-the-side-facing-earth/article_62e968f8-983f-5f0a-baad-9cf5ecd9991c.html
2025-04-09,timminstoday.com,"Roots has 'limited' tariff exposure, watching for shift in consumer sentiment: CEO",https://www.timminstoday.com/business-news/roots-has-limited-tariff-exposure-watching-for-shift-in-consumer-sentiment-ceo-10497854
2025-04-09,app.com.pk,"DPM Dar telephones Bangladesh Foreign Advisor, reiterates commitment for future cooperation",https://www.app.com.pk/national/dpm-dar-telephones-bangladesh-foreign-advisor-reiterates-commitment-for-future-cooperation/
